john,Guess the City,10,tokyo
john,Guess the Programming Language,12,ruby
jay,Guess the Programming Language,6,python
jay,Guess the City,5,newyork
paul,Guess the Programming Language,6,machine
paul,Guess the City,5,tokyo
Alice,Guess the Programming Language,33,Python
miko,Guess the City,5,sydney
jaypee,Guess the City,5,paris
miko,Guess the Number,8,12
